orden	s_px	theta	n_min	epsilon	rho	r_max	a_min	tau_t	d_min	g_min	w_sep_min	w_sep_max	paso_x	max_rasterizaciones	max_pixeles_mascara
1	12.0	0.70	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
2	12.0	0.70	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
3	12.0	0.70	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
4	12.0	0.75	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
5	12.0	0.75	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
6	12.0	0.75	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
7	12.0	0.80	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
8	12.0	0.80	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
9	12.0	0.80	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
10	12.8	0.70	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
11	12.8	0.70	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
12	12.8	0.70	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
13	12.8	0.75	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
14	12.8	0.75	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
15	12.8	0.75	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
16	12.8	0.80	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
17	12.8	0.80	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
18	12.8	0.80	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
19	13.6	0.70	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
20	13.6	0.70	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
21	13.6	0.70	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
22	13.6	0.75	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
23	13.6	0.75	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
24	13.6	0.75	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
25	13.6	0.80	20	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
26	13.6	0.80	40	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
27	13.6	0.80	80	0.02	0.08	24	8	96	8	2	1	6	1	20000	8000
